# 魔虎四码字词避让表（自然码（含 mohu_zrm / mohu_llm_zrm））
# 词 <TAB> 被顶的字（多个字以空格分隔）；每行均为该方案实际发生的让位。
# 输入四码时，本表中的二字词排在行内所列单字之前，被顶单字仍保次选。
# 编辑后重新部署生效：删字=该字恢复首选；删行=该词不再顶字；增行=新增让位。
# 由 tools/build_four_code_yield_pairs.py 生成，来源与规则见该脚本说明。
希望	𬶮
以及	仪
结果	羯
教育	醮
必须	庳
一点	邑 嗌
只是	挚 鸷 贽 絷
一次	蚁
质量	𦭜
利用	詈
汽车	缉
原来	苑
健康	湔
真正	甄
全球	𨟠
一天	裔
意见	倚
刚刚	鿍
里面	戾
谢谢	廨
附近	傅
职工	址
理解	俐
机关	殛
至少	执
人类	葚
是我	鲥
基地	唧
指数	挚
也在	铘
距离	蒟
一旦	咿
为例	𫇭
理由	轹
打开	溚
角度	噍
进口	浸
理想	厘
自我	鲻
妻子	綦
警察	靖
微笑	逶
路线	庐
威胁	𬱟
前往	搴
比分	皕
思考	涘
依靠	溢
起床	缉
一面	猗
一道	嗌
尽量	堇
危机	伪
工商	攻
彼此	璧
寂寞	矶
份额	棼
周边	婤
秩序	稚
加速	迦
义务	逸
未能	玮
前来	芊
盈利	莹 萦
人均	仞
福建	伏
激励	芰
夫人	幅
弟弟	嘀
西藏	𠅤 𬭳
制约	郅
延续	赝
演讲	弇
抵抗	涤
优雅	繇
舆论	萸
主角	侏
签约	椠
剂量	蕺
中奖	仲
故障	臌
济南	赍
一带	呓
路口	渌
湖北	嫭
迹象	积
潜在	钎
开会	恺
荷兰	𬌗
车手	撤
夺冠	㙍
侵略	芹
遗产	毅
继承	堲
加重	胛 岬
有意	繇
屁股	埤
起码	碛
节省	拮
前者	肷
中等	盅
灵感	坽
一再	弈 羿
小康	滧
体检	倜
动画	冬
连忙	磏
一律	苡
提倡	绨
恶劣	苊
武林	芴
阶层	蜐
至此	咫
遗传	绎
指控	沚
锁定	唢
键盘	鉴
滋味	咨
椅子	翌
灰色	诲
时段	噬
户外	鳠
办案	癍
诸如	筑
录音	鸬
起飞	祺
失落	莳
解说	揭
公式	巩
计较	伋
入口	洳
智商	掷
一早	镒
眼看	渰
低迷	碲
膨胀	膨
番茄	畈
餐馆	餐
遇难	瑜
好感	豪
未曾	炜
演练	芫
吉他	𫌀
缘故	羱
红利	荭
油菜	蝣
游览	莜
气味	鲯
拘留	苴
通胀	峂
严谨	偃
历来	苈
要命	猺
处境	俶
环卫	逭
妇联	茯
回合	悔
优越	繇
复兴	稃
便秘	扁
一派	黟
点名	扂
致敬	侄
礼服	逦
镇压	臻
总价	倧
和解	龢
止血	秩
新郎	芯
元首	掾
聚焦	倨
玩耍	皖
古怪	羖
同居	仝
