# 魔虎四码字词避让表（小鹤（含 mohu_flypy / mohu_llm_flypy））
# 词 <TAB> 被顶的字（多个字以空格分隔）；每行均为该方案实际发生的让位。
# 输入四码时，本表中的二字词排在行内所列单字之前，被顶单字仍保次选。
# 编辑后重新部署生效：删字=该字恢复首选；删行=该词不再顶字；增行=新增让位。
# 由 tools/build_four_code_yield_pairs.py 生成，来源与规则见该脚本说明。
已经	佁
同时	撞
一定	嗌
希望	𬶮
起来	葺
不要	醭
以及	仪
结果	羯
教育	醮
必须	庳
一点	邑
只是	擿
具有	醵
一次	蚁
计划	悸
利用	詈
健康	湔
真正	甄
全球	𨟠
一天	裔
意见	倚
离开	浬
刚刚	鿍
里面	戾
统计	僮
微信	委
职工	址
机关	殛
医疗	𬟁
是我	鲥
基地	唧
吸引	醯
距离	蒟
一旦	咿
为例	𫇭
即将	借
理由	醨
角度	噍
自我	鲻
姐姐	介
警察	靖
自动	呲
路线	庐
更新	赓
无聊	芴
一面	猗
互相	鹱
危机	伪
工商	攻
寂寞	矶
份额	棼
周边	婤
秩序	稚
前景	佥
义务	逸
未能	玮
进来	堇
积累	蓟
福建	伏
夫人	幅
之内	疐
协商	挟
极为	脊
弟弟	嘀
西藏	𬭳
肌肉	箕
安慰	𩽾
制约	郅
抵抗	涤
优雅	繇
着手	擢
原谅	苑
主角	侏
签约	椠
故障	臌
一向	移
济南	赍
开会	恺
荷兰	𬌗
用心	鄘
夺冠	㙍
细菌	傒
侵略	芹
遗产	毅
加重	胛
屁股	埤
起码	碛
节省	拮
前者	肷
中等	盅
灵感	坽
礼品	跞
体检	倜
疫情	饴
连忙	磏
一律	苡
左手	捽
提倡	绨
阶层	蜐
至此	咫
遗传	绎
指控	沚
锁定	唆
户口	滹
椅子	翌
灰色	诲
时段	噬
等候	凳
办案	癍
诸如	筑
简洁	牮
祈祷	炁
失落	莳
解说	揭
细心	稀
智商	掷
一早	奕
眼看	渰
低迷	碲
膨胀	膨
附加	俯
餐馆	餐
遇难	瑜
牛市	拗
烟草	炎
好感	豪
未曾	炜
亲手	揿
演练	芫
西装	腊
吉他	𫌀
红利	荭
油菜	蚰
演奏	虤
长虹	惝
游览	莜
通胀	峂
比率	芘
环卫	鲩
回合	悔
天桥	盷
便秘	扁
将领	茳
仪表	嫕
礼拜	娌
镇压	臻
止血	秩
淡化	憺
新郎	芯
服药	罘
同居	仝
眼线	魇
有缘	卣
完备	婠
知晓	稙
语法	欤
取证	朐
风筝	崶
显出	缐
菠菜	檗
中西	穜
稀缺	饻
瑜伽	畬
抚养	孚
眼角	偃
印证	歅
录用	辂
半晌	扮
求婚	遒
汇款	洄
豪门	貊
泡面	匏
雨天	雩
鱼类	菀
不公	埗
落泪	荦
离家	俐
金光	墐
痉挛	茎
咬牙	鹞
鸡翅	畿
差额	楂
乐团	粤
气流	荠
止痛	骘
接吻	寁
西侧	蜥
诊疗	葴
衣着	肄
全然	筌
包揽	葆
坚韧	笺
享乐	葙
比方	弊
持枪	眵
运力	蕴
侦探	袗
积雪	觭
矩阵	岨
异国	埸
制片	跖
老友	醪
听觉	侹
践踏	裥
石榴	蓍
喜讯	玺
西医	谿
腰椎	崾
乡里	芗
石膏	螫
腐烂	苻
激增	𫓯
变脸	萹
麒麟	芪
鉴赏	搛
贮存	蠋
五彩	蜈
焦距	僬
送行	忪
圆润	圜
秘方	祕
右派	鼬
妖孽	珧
比对	哔
隐秘	硍
既往	𬶭
肥肉	翡
闭合	愎
暂且	酂
虚空	浒
边框	弁
皮毛	狉
笔录	萆
西餐	熻
通电	哃
无害	怃
失真	䏡
剧照	崌
山城	缮
收场	艏
气泡	跂
会师	㧑
起色	讫
渗漏	葚
荒芜	鳇
亚麻	猰
舒坦	隃
前奏	钳
见长	缣
方略	邡
活路	劐
迅雷	荤
教书	皦
悠扬	𬨎
溜走	镠
环路	萑
井喷	粳
依恋	荑
脊椎	觊
石蜡	贳
细长	绤
未了	葳
决斗	噱
清高	磬
酒席	厩
衣柜	圯
坦荡	啴
健忘	鳒
经期	丼
清廉	苘
绝妙	砄
架空	泇
戏法	禊
推辞	煺
衣袖	廙
凝望	甯
俯瞰	洑
响彻	缃
喜乐	菥
引力	龈
铺路	蒱
锅盖	埚
镇守	揕
诗篇	鼫
汇兑	哕
劫难	玠
密友	醾
溪流	葸
西周	巇
激流	荠
巫山	鹀
两极	俍
绝学	觖
八路	菝
师门	奭
清冷	檠
带电	呔
计谋	剞
垒球	罍
写生	撷
严冬	唁
继任	笄
教务	徼
箴言	轸
父老	芣
出苗	䝙
集权	齑
毛驴	芼
地界	籴
领班	姈
变天	褊
深究	侁
戏谑	觿
山峦	芟
绿林	菉
满座	镘
力点	唳
心醉	镡
硬仗	媵
记过	垍
鱼刺	燏
逼问	鲾
植皮	蹢
余力	蓣
国球	馃
仪态	裛
七律	芑
柏树	捭
扦插	𬘬
乌贼	铻
馋嘴	镡
火坑	漷
羽坛	褕
揽客	漤
域外	敔
西晋	豨
气浪	蕲
铺张	氆
泉眼	辁
上供	埫
线板	孅
疾走	𫓹
量程	𫟅
细账	肸
克难	匼
君临	莙
复学	鄜
寒舍	扞
试播	媞
唐卡	𬍡
沟谷	雊
胰液	酏
