⺼	〔⺼ · vy〕
〇	〔〇 · dk dkk〕
㐀	〔卝一 · lfi〕
㐁	〔一囗人 · frjr〕
㐂	〔七七七 · rrrq〕
㐃	〔丨 · dgs〕
㐄	〔㐄 · vk vkk〕
㐅	〔㐅 · bi〕
㐆	〔㐆 · zs〕
㐌	〔𠂉也 · eey〕
㐎	〔文乙 · vai〕
㐖	〔士口乚 · gdae〕
㐜	〔一氺丶九 · fkik〕
㐡	〔九而大 · klmd〕
㐤	〔九十 · knqh〕
㐧	〔丶丿 · intp〕
㐨	〔予予 · iiv〕
㐩	〔井井 · qqj〕
㐪	〔亠山人 · zvjr〕
㐫	〔亠㐅凵 · zbmk〕
㐬	〔 · boc〕
㐭	〔亠囗口 · zrdk〕
㐮	〔衣八一 · thqf〕
㐯	〔口禾日 · gdxo〕
㐰	〔亻口 · jdk〕
㐱	〔人彡 · jes〕
㐲	〔亻大 · jmd〕
㐳	〔亻一儿 · jfpe〕
㐴	〔亻夕 · jlx〕
㐵	〔亻一 · jfns〕
㐶	〔亻巳 · jvs〕
㐷	〔亻马 · jnm〕
㐸	〔亻欠 · jeq〕
㐹	〔亻气 · jvq〕
㐺	〔亻亻人 · jjjr〕
㐻	〔亻冂人 · jmjr〕
㐼	〔亻丿廾 · jtlc〕
㐽	〔亻⺇乂 · jobi〕
㐾	〔亻二儿 · jmpe〕
㑀	〔亻大丶 · jmid〕
㑁	〔亻屮凵 · jsmk〕
㑂	〔亻一冂人 · jfmj〕
㑃	〔亻幺力 · jisl〕
㑄	〔亻母 · jkm〕
㑅	〔亻𠂉⺊一 · jeyf〕
㑆	〔亻口儿 · jdpe〕
㑇	〔亻⺈彐 · jxbj〕
㑈	〔亻小 · jryx〕
㑉	〔亻几歹 · jogd〕
㑊	〔亻亠 · jzch〕
㑋	〔亻曲 · jyq〕
㑌	〔亻匚王 · jnnw〕
㑍	〔亻耒 · jal〕
㑎	〔亻巛山 · jovs〕
㑏	〔亻宀寸 · jwkc〕
㑐	〔亻⺊一小 · jyfy〕
㑑	〔亻自 · joi〕
㑒	〔亼口人 · jdjr〕
㑓	〔亻厶𠂇又 · jknr〕
㑔	〔亻页 · jwy〕
㑕	〔亻山夕 · jvlx〕
㑖	〔亻亻口丨 · jjdg〕
㑗	〔亻身 · jzs〕
㑘	〔亻戈廾 · jplc〕
㑙	〔亻耳㇗ · jqae〕
㑚	〔亻㇆阝 · jaut〕
㑛	〔亻束 · jxs〕
㑜	〔亻扌斤 · jutj〕
㑝	〔亻王廾 · jnlc〕
㑞	〔亻火廾 · jclc〕
㑟	〔亻 · jthb〕
㑠	〔亻〢又土 · jprg〕
㑡	〔亻卩 · jizj〕
㑢	〔亻土厶卩 · jgkz〕
㑣	〔亻木木 · jeem〕
㑤	〔亻艹田 · jlqt〕
㑥	〔亻日勹 · jone〕
㑦	〔亻户犬 · jmmq〕
㑧	〔亻禾子 · jxhi〕
㑨	〔亻口矢 · jdos〕
㑩	〔亻罒夕 · jylx〕
㑪	〔亻斉 · jqq〕
㑫	〔亻亽心 · jjah〕
㑬	〔亻女古 · jbcg〕
㑭	〔亻田丌 · jqlc〕
㑮	〔亻冖車 · jwyc〕
㑯	〔亻頁 · jwy〕
㑰	〔亻彑 · jbjs〕
㑱	〔亻予丿木 · jite〕
㑲	〔亻十冂 · jnmg〕
㑳	〔亻勹 · jnss〕
㑴	〔亻彐冖又 · jbwr〕
㑵	〔亻疒矢 · jaos〕
㑶	〔亻气米 · jvpm〕
㑷	〔亻厶⺝匕 · jkvv〕
㑸	〔亻古可 · jczk〕
㑹	〔亼由曰 · jdor〕
㑺	〔亻隹乃 · juvn〕
㑻	〔亻宀心山 · jwhv〕
㑼	〔亻田各 · jqsg〕
㑽	〔亻土 · jsgt〕
㑾	〔亻言 · jvsy〕
㑿	〔亻巛田木 · joqe〕
㒀	〔亻冂古 · jimc〕
㒁	〔亻囗土 · jrgg〕
㒂	〔亻艹耂日 · jlqo〕
㒃	〔亻弋二貝 · jpmo〕
㒄	〔亻犬灬 · jvmc〕
㒅	〔亻衣夕夕 · jtll〕
㒆	〔亻亼口羽 · jjdz〕
㒇	〔亻𠂉卌灬 · jelc〕
㒈	〔亻乛耳攵 · jaqh〕
㒉	〔亻木 · jsem〕
㒊	〔亻刀丶止 · jpis〕
㒋	〔亻斤 · jzht〕
㒌	〔亻火火几 · jcco〕
㒍	〔亻厶厶糸 · jkki〕
㒎	〔亻一大非 · jfmr〕
㒏	〔亻宀⺀ · jwqw〕
㒐	〔亻⺮勹日 · jrno〕
㒑	〔亻匚氵隹 · jnku〕
㒒	〔亻业羊八 · jcgh〕
㒓	〔亻土羊辶 · jggu〕
㒔	〔亻罒勹虫 · jync〕
㒕	〔亻亠乡隹 · jziu〕
㒖	〔亻艹田⽱ · jlqv〕
㒗	〔亻甘冖至 · jzwy〕
㒘	〔亻臣又立 · jqri〕
㒙	〔亻糹白巾 · jiur〕
㒚	〔亻爫工心 · jyuh〕
㒛	〔亻羽隹 · jzui〕
㒜	〔亻一 · jpfh〕
㒝	〔亻艹罒丶 · jlyi〕
㒞	〔亻山隹 · jvum〕
㒟	〔亻衣馬 · jtnm〕
㒠	〔亻歺又一 · jgrf〕
㒡	〔亻爫缶糸 · jyai〕
㒢	〔亻侖口口 · jjdd〕
㒣	〔亻广亻心 · jxjh〕
㒤	〔亻耳耳耳 · jqqq〕
㒥	〔亻山丰豆 · jvaz〕
㒦	〔亻田田土 · jqqg〕
㒧	〔亻亠㐅隹 · jzbu〕
㒨	〔亻丿巳 · jptv〕
㒩	〔亻彑虫 · jbjc〕
㒪	〔人臣臣豕 · jqqj〕
㒫	〔儿 · bpe〕
㒬	〔二儿王 · mpnw〕
㒭	〔口儿口儿 · dpdp〕
㒮	〔二儿豕 · mpjs〕
㒯	〔光艹一 · mlfu〕
㒰	〔入工 · jug〕
㒱	〔入夕 · jlx〕
㒲	〔入日 · jor〕
㒳	〔㒳 · ml〕
㒴	〔入屮凵 · jsmk〕
㒵	〔白八 · uhb〕
㒶	〔八白 · hub〕
㒷	〔冂人 · mjhb〕
㒸	〔丷豕 · hjs〕
㒹	〔十 · nqhh〕
㒺	〔冂䒑亾 · mhfw〕
㒻	〔⺜見 · oej〕
㒼	〔廿㒳 · lml〕
㒽	〔⺜丷夫⺋ · ohhz〕
㒾	〔⺜方𠂉也 · olee〕
㒿	〔⺜亠㐅隹 · ozbu〕
㓀	〔冖卜 · wyb〕
㓁	〔冖八 · whb〕
㓂	〔冖二儿女 · wmpb〕
㓃	〔冖言丿七 · wstr〕
㓄	〔厶厶厶 · kkkp〕
㓅	〔冫丁 · wad〕
㓆	〔冫仑 · wjl〕
㓇	〔冫丿大 · wtmd〕
㓈	〔冫石 · wms〕
㓉	〔冫舌 · was〕
㓊	〔冫冂一口 · wmfd〕
㓋	〔冫龷八 · wlhb〕
㓌	〔冫人王 · wjnw〕
㓍	〔冫儿 · wbpe〕
㓎	〔冫彐冖又 · wbwr〕
㓏	〔冫冂八口 · wmhd〕
㓐	〔冫土八土 · wghg〕
㓑	〔冫土 · wggy〕
㓒	〔冫七人⺗ · wrjh〕
㓓	〔冫十冂 · wnmg〕
㓔	〔冫身寸 · wzkc〕
㓕	〔冫戊一火 · wnfc〕
㓖	〔冫田艹 · wqlu〕
㓗	〔冫丰刀糸 · wapi〕
㓘	〔几歹王丶 · ogni〕
㓙	〔文凵 · vmk〕
㓚	〔工刂 · upd〕
㓛	〔工刀 · upd〕
㓜	〔幺刀 · ipd〕
㓝	〔井刂 · qpd〕
㓞	〔丰刀 · apd〕
㓟	〔皮刂 · rpd〕
㓠	〔⺊口刂 · ydpd〕
㓡	〔缶刂 · apd〕
㓢	〔各刂 · spd〕
㓣	〔亼口刂 · jdpd〕
㓤	〔士口刂 · gdpd〕
㓥	〔⺌彐刂 · ybpd〕
㓦	〔一白刂 · fupd〕
㓧	〔亽口刂 · jadp〕
㓨	〔大人人刂 · mjjp〕
㓩	〔⺈用刂 · xtpd〕
㓪	〔丶刀 · iipd〕
㓫	〔大一廾刂 · mflp〕
㓬	〔丷夫刀刂 · hhpp〕
㓭	〔曰勹亾刂 · onfp〕
㓮	〔⺆土口刂 · mgdp〕
㓯	〔巛田刂 · oqpd〕
㓰	〔一由凵刂 · fdmp〕
㓱	〔亼⺝刂刂 · jvpp〕
㓲	〔户刂 · mipd〕
㓳	〔日刂 · otpd〕
㓴	〔而大刂 · lmpd〕
㓵	〔口口二刂 · ddmp〕
㓶	〔丰刀大刂 · apmp〕
㓷	〔自木刂 · oepd〕
㓸	〔刂 · cpd〕
㓹	〔厂火火刂 · xccp〕
㓺	〔虍文刂 · zvpd〕
㓻	〔罒一止刂 · yfsp〕
㓼	〔木人氺刂 · ejkp〕
㓽	〔山宀示刂 · vwfp〕
㓾	〔尸氺牛刂 · ckqp〕
㓿	〔禾人氺刂 · xjkp〕
㔀	〔日小刂 · ogyp〕
㔁	〔癶豆刂 · hzpd〕
㔂	〔米夕㐄刂 · plvp〕
㔃	〔糹⺈巴刀 · ixmp〕
㔄	〔覀米刂 · vppd〕
㔅	〔𦘒刂 · baap〕
㔆	〔旡曰刂 · ddop〕
㔇	〔癶弓殳刂 · hbrp〕
㔈	〔艹非刂 · lrpd〕
㔉	〔尸丿口刂 · ctdp〕
㔊	〔亠囗口刂 · zrdp〕
㔋	〔臣皿刂 · qrap〕
㔌	〔耳又丿刂 · qrtp〕
㔍	〔⺮目廾刂 · rqlp〕
㔎	〔丿㠯刀 · stkp〕
㔏	〔石石石刂 · mmmp〕
㔐	〔⺮一非刂 · rfrp〕
㔑	〔艹丿㠯刀 · ltkp〕
㔒	〔山隹冂刂 · vump〕
㔓	〔千力 · lsl〕
㔕	〔气力 · vsl〕
㔗	〔弗力 · tsl〕
㔘	〔屮凵力 · smsl〕
㔙	〔䒑廾力 · hlsl〕
㔚	〔舌力 · asl〕
㔜	〔爫子力 · yhsl〕
㔝	〔兩力 · msl〕
㔞	〔千匕力 · lavs〕
㔟	〔生九丶力 · lkis〕
㔠	〔曰勹亾力 · onfs〕
㔡	〔丿囗乂力 · trbs〕
㔢	〔糹⺈巴力 · ixms〕
㔣	〔田田田力 · qqqs〕
㔤	〔宀丿米力 · wtps〕
㔥	〔罒厶⺝力 · ykvs〕
㔦	〔⺶㇏丶力 · giis〕
㔧	〔虍田皿力 · zqas〕
㔨	〔勹匕⺝ · navv〕
㔩	〔勹土厶皿 · ngka〕
㔪	〔勹⺊囗 · nyrp〕
㔫	〔𠂇匕 · nvb〕
㔬	〔匕日十 · vons〕
㔭	〔日 · vots〕
㔮	〔廿口夫匕 · ldhv〕
㔯	〔匚几口 · nodk〕
㔰	〔匚夕卜 · nlyb〕
㔱	〔匚臼人 · npjr〕
㔲	〔匚飠九 · nqkj〕
㔳	〔匚飠几 · nqoj〕
