人民幣	人民幣 ￥ 💴
日元	日元 ￥ 💴 円
日幣	日幣 ￥
美元	美元 $ 💵 💲 ㌦
美刀	美刀 $ 💵
港元	港元 HK$
港幣	港幣 HK$
澳門元	澳門元 MOP$
澳門幣	澳門幣 MOP$
葡幣	葡幣 MOP$
新加坡元	新加坡元 S$
新加坡幣	新加坡幣 S$
歐元	歐元 € 💶
英鎊	英鎊 £ 💷
笑臉	笑臉 😀 ☺ 😃 😊 😁
露齒笑	露齒笑 😃
哈	哈 😄 😸
哈哈	哈哈 😄 😸 🤭
開心	開心 😄 ☺ 😁 😃 😆 😺 🥳
笑	笑 😄 😊 😀 😁 😂 🤣 😃 😅 😆 😉 😋 😎 😺 😸 😹
高興	高興 😄 😀 😃 😊 😸 😺 🕺🏻 🥳
憨憨	憨憨 😄
嘻嘻	嘻嘻 😁 😄 🤭
嘿嘿	嘿嘿 😁 😈 😏 🤭
咧嘴笑	咧嘴笑 😁
傻笑	傻笑 😆 😏
眯眼笑	眯眼笑 😆 😄
笑死	笑死 😆 🤣
好耶	好耶 😆
笑暈	笑暈 😆
汗	汗 😅 😰 😓 💦 😥 😿 😢
冷汗	冷汗 😅 😰 😓
冒汗	冒汗 😅 😰 😓
無語	無語 😅 😰 😓 💬 😶
尷尬	尷尬 😅 😰 😓
苦笑	苦笑 😅 😁 😼
大笑	大笑 😂 🤣 😀 😁 😃 😄 😅 😆 😉 😊 😋 😎 😺 😸 😹
笑哭	笑哭 😂 🤣 😹
笑哭了	笑哭了 😂 🤣
笑出眼淚	笑出眼淚 😂 🤣
打滾	打滾 🤣
打滾兒	打滾兒 🤣
笑得打滾	笑得打滾 🤣
笑得打滾兒	笑得打滾兒 🤣
笑得滿地打滾	笑得滿地打滾 🤣
笑得滿地打滾兒	笑得滿地打滾兒 🤣
呵呵	呵呵 🙂 🙃 😄 🥲
倒臉	倒臉 🙃
顛倒	顛倒 🙃
顛倒的臉	顛倒的臉 🙃
消失	消失 🫠 🫥
溶解	溶解 🫠
融化	融化 🫠
眨眼	眨眼 😉 😜
媚眼	媚眼 😉
拋媚眼	拋媚眼 😉
微笑	微笑 😊 🙂 ☺ 😈 😼 🤓 😁 😃 😄 😸
臉紅	臉紅 😊 😳 ☺ ☺️
光環	光環 😇 🪐
微笑天使	微笑天使 😇
喜笑顏開	喜笑顏開 🥰
愛心環繞	愛心環繞 🥰
愛慕	愛慕 🥰
迷戀	迷戀 🥰
陷入愛河	陷入愛河 🥰
墜入愛河	墜入愛河 🥰
幸福	幸福 🥰
喜歡	喜歡 😍 ♥️ ☺ 💓 😻 🥰 ☺️
花癡	花癡 😍
崇拜	崇拜 🤩 🙇‍♂ 🙇‍ 🙇‍♀ 🙇🏻‍♂ 🙇🏼‍♂ 🙇🏽‍♂ 🙇🏾‍♂ 🙇🏿‍♂ 🙇🏻 🙇🏼 🙇🏽 🙇🏾 🙇🏿 🙇🏻‍♀ 🙇🏼‍♀ 🙇🏽‍♀ 🙇🏾‍♀ 🙇🏿‍♀ 🙇
好崇拜	好崇拜 🤩
好崇拜哦	好崇拜哦 🤩
星星眼	星星眼 🤩
眼冒星星	眼冒星星 🤩
親親	親親 😘 💋 😚 😽
飛吻	飛吻 😘
噘嘴	噘嘴 😗 🙎‍♂️ 🙎‍♀️ 😠 😡 😾 🙎 🙎🏻‍♀ 🙎🏻‍♂ 🙎🏻
羞澀親親	羞澀親親 😚
微笑親親	微笑親親 😙
含淚的笑臉	含淚的笑臉 🥲
含淚笑臉	含淚笑臉 🥲
欣慰	欣慰 🥲
好喫	好喫 😋 😍 😻
津津有味	津津有味 😋
美味	美味 😋 😍 😻
吐舌	吐舌 😛 😜 😝
吐舌頭	吐舌頭 😛 😜 😝 😋
略略略	略略略 😛 😜 😝
單眼吐舌	單眼吐舌 😜
調皮	調皮 😜 🤪
搗蛋	搗蛋 😜
傻瓜	傻瓜 🤪
傻瓜臉	傻瓜臉 🤪
眯眼	眯眼 😝
眯眼吐舌	眯眼吐舌 😝
開玩笑	開玩笑 😝 😜
嘲笑	嘲笑 😝
發財	發財 🤑
財迷	財迷 🤑
拜金	拜金 🤑
見錢眼開	見錢眼開 🤑
錢眼	錢眼 🤑
錢眼兒	錢眼兒 🤑
抱抱	抱抱 🤗 🫂
擁抱	擁抱 🤗 🫂
捂嘴	捂嘴 🤭 🙊
捂嘴巴	捂嘴巴 🤭 🙊
捂上嘴巴	捂上嘴巴 🤭 🙊
捂住嘴巴	捂住嘴巴 🤭 🙊
捂着嘴巴	捂着嘴巴 🤭 🙊
捂嘴笑	捂嘴笑 🤭
捂着嘴笑	捂着嘴笑 🤭
好笑	好笑 🤭 😆
不敢相信	不敢相信 🫢
unbelievable	unbelievable 🫢
偷看	偷看 🫣
偷偷看	偷偷看 🫣
偷瞧	偷瞧 🫣
偷偷瞧	偷偷瞧 🫣
單眼偷看	單眼偷看 🫣
不敢看	不敢看 🫣 🙈
我不敢看	我不敢看 🫣
畫面太美我不敢看	畫面太美我不敢看 🫣
那畫面太美我不敢看	那畫面太美我不敢看 🫣
噓	噓 🤫 🖕
安靜	安靜 🤫
安靜的臉	安靜的臉 🤫
小聲	小聲 🤫 🔉
小點聲	小點聲 🤫
小點兒聲	小點兒聲 🤫
小聲點	小聲點 🤫
小聲點兒	小聲點兒 🤫
別說話	別說話 🤫 🫢
深思的臉	深思的臉 🤔
深思	深思 🤔
思考	思考 🤔 🤨 🥴 🧐 💭 😔 😕
奇怪	奇怪 🤔
奇怪了	奇怪了 🤔
想一想	想一想 🤔
想想	想想 🤔 😕
我想想	我想想 🤔
我再想想	我再想想 🤔
容我三思	容我三思 🤔
呃	呃 🤔 😢 😿 🤪
疑問	疑問 🤔 ❓ ❔ 😖 🤨
可能	可能 🤔
不理解	不理解 🤔
不明白	不明白 🤔
敬禮	敬禮 🫡
致敬	致敬 🫡
尊敬	尊敬 🫡
尊重	尊重 🫡
瑞思拜	瑞思拜 🫡
respect	respect 🫡
閉嘴	閉嘴 🤐 😠 🙊 🤭 🫢
祕密	祕密 🤐 ㊙️
保密	保密 🤐
守密	守密 🤐
不說	不說 🤐 🙊 😷 🤭 🫢
不能說	不能說 🤐 😷 🙊 🤭 🫢
不要說	不要說 🤐
拉上拉鍊	拉上拉鍊 🤐
封口	封口 🤐
禁言	禁言 🤐
挑眉	挑眉 🤨
眉毛上挑	眉毛上挑 🤨
眉毛上挑的臉	眉毛上挑的臉 🤨
平靜	平靜 😐
面無表情	面無表情 😑
沒有嘴	沒有嘴 😶
沒有嘴巴	沒有嘴巴 😶
沉默	沉默 😶
隱形	隱形 🫥
隱藏	隱藏 🫥
虛線臉	虛線臉 🫥
虛線輪廓	虛線輪廓 🫥
雲中	雲中 😶‍🌫️
雲中的臉	雲中的臉 😶‍🌫️
得意	得意 😏 😎 😤
得意地笑	得意地笑 😏
鬱悶	鬱悶 😒 😫
鄙視	鄙視 😒 👎 🖕 🖕🏻
白眼	白眼 🙄
白眼兒	白眼兒 🙄
翻白眼	翻白眼 🙄
翻白眼兒	翻白眼兒 🙄
咬牙切齒	咬牙切齒 😬
齜牙咧嘴	齜牙咧嘴 😬
齜牙	齜牙 😬
咬牙	咬牙 😬
呼氣	呼氣 😮‍💨 🫁
嘆氣	嘆氣 😮‍💨 😔
唉	唉 😮‍💨 😔 😪
無奈	無奈 😮‍💨
長鼻子	長鼻子 🤥
長鼻	長鼻 🤥
匹諾曹	匹諾曹 🤥
說謊	說謊 🤥
撒謊	撒謊 🤥
亂講	亂講 🤥
胡說	胡說 🤥
騙子	騙子 🤥
騙人	騙人 🤥
騙人布	騙人布 🤥
烏索普	烏索普 🤥
晃腦	晃腦 🫨
搖頭晃腦	搖頭晃腦 🫨
顫抖的臉	顫抖的臉 🫨
猛搖頭	猛搖頭 🫨
甩頭	甩頭 🫨
如釋重負	如釋重負 😌
鬆口氣	鬆口氣 😌
鬆了口氣	鬆了口氣 😌
鬆了一口氣	鬆了一口氣 😌
釋然	釋然 😌
低頭憂傷	低頭憂傷 😔
心事重重	心事重重 😔
憂慮	憂慮 😔
憂傷	憂傷 😔
困	困 😪 🥱 😴 😞
困困	困困 😪
困了	困了 😪 🥱 😴
睏倦	睏倦 😪 🥱
睏乏	睏乏 😪
瞌睡	瞌睡 😪
打瞌睡	打瞌睡 😪
口水	口水 🤤
流口水	流口水 🤤
垂涎三尺	垂涎三尺 🤤
睡覺	睡覺 😴 💤 🛌 😪 🛌🏻
睡着	睡着 😴 💤
睡着了	睡着了 😴 💤
睡了	睡了 😴 💤
睡眠	睡眠 😴 💤 🛌
口罩	口罩 😷
戴口罩	戴口罩 😷
感冒	感冒 😷 🤧 🤒
生病	生病 😷 🤒 🤕 🤧
體溫計	體溫計 🤒 🌡 🌡️
量體溫	量體溫 🤒
發燒	發燒 🤒
受傷	受傷 🤕 ❤️‍🩹
負傷	負傷 🤕
繃帶	繃帶 🤕
纏繃帶	纏繃帶 🤕
纏滿繃帶	纏滿繃帶 🤕
噁心	噁心 🤢 🤮
想吐	想吐 🤢 🤮
反胃	反胃 🤢
吐	吐 🤮
吐了	吐了 🤮
嘔吐	嘔吐 🤮
吐出來	吐出來 🤮
噴嚏	噴嚏 🤧
打噴嚏	打噴嚏 🤧
鼻涕	鼻涕 🤧
擤鼻涕	擤鼻涕 🤧
擤鼻子	擤鼻子 🤧
鼻炎	鼻炎 🤧
熱	熱 🥵 ☀ 🔥 ☀️ 🫠
很熱	很熱 🥵
好熱	好熱 🥵 🫠
發熱	發熱 🥵
臉發燒	臉發燒 🥵
辣	辣 🥵 🌶 🌶️
辣死	辣死 🥵
辣死了	辣死了 🥵
超辣	超辣 🥵
超級辣	超級辣 🥵
熱死	熱死 🥵
熱死了	熱死了 🥵
爆辣	爆辣 🥵
冷	冷 🥶 ❄ ❄️
很冷	很冷 🥶
冰冷	冰冷 🥶
好冷	好冷 🥶
冷冰冰	冷冰冰 🥶
冷臉	冷臉 🥶
凍僵	凍僵 🥶
凍僵了	凍僵了 🥶
滿面寒霜	滿面寒霜 🥶
微醺	微醺 🥴
醉了	醉了 🥴
喝醉	喝醉 🥴
喝醉了	喝醉了 🥴
喝多	喝多 🥴
喝多了	喝多了 🥴
昏昏沉沉	昏昏沉沉 🥴
酒醉	酒醉 🥴
暈	暈 😵 😵‍💫 😢 😿 🥴
暈了	暈了 😵 😵‍💫
我暈	我暈 😵 😵‍💫
頭暈	頭暈 😵 😵‍💫
暈頭	暈頭 😵 😵‍💫
頭暈目眩	頭暈目眩 😵 😵‍💫 💫
暈頭轉向	暈頭轉向 😵 😵‍💫 💫
頭暈眼花	頭暈眼花 😵 😵‍💫
爆炸頭	爆炸頭 🤯
爆炸腦	爆炸腦 🤯
頭爆炸	頭爆炸 🤯
腦子爆炸	腦子爆炸 🤯
腦袋爆炸	腦袋爆炸 🤯
腦爆炸	腦爆炸 🤯
大腦爆炸	大腦爆炸 🤯
爆頭	爆頭 🤯
牛仔	牛仔 🤠
牛仔帽	牛仔帽 🤠
牛仔帽臉	牛仔帽臉 🤠
派對	派對 🥳 🎉
派對臉	派對臉 🥳
慶祝	慶祝 🥳 🎉 ❇ ㊗ 🍻 🎀 🎁 🎂 🎃 🎄 🎅 🎆 🎇 🎈 🎊 🎋 🎎 🎏 🎐 🎑 🎓 🏮 🙌 🙌🏻
開趴	開趴 🥳
開淫趴	開淫趴 🥳
開銀趴	開銀趴 🥳
party	party 🥳
開party	開party 🥳
僞裝	僞裝 🥸
僞裝的臉	僞裝的臉 🥸
隱瞞身份	隱瞞身份 🥸
太陽鏡	太陽鏡 😎 🕶 🕶️
墨鏡	墨鏡 😎 🕶 🕶️
墨鏡笑臉	墨鏡笑臉 😎
自信	自信 😎 😼
書呆子	書呆子 🤓
書呆子臉	書呆子臉 🤓
單片眼鏡	單片眼鏡 🧐
帶單片眼鏡的臉	帶單片眼鏡的臉 🧐
探究	探究 🧐
研究	研究 🧐
