# code	text	rank	freq_rank
a	啊	1	55
aa	吖	1	1416
aa	啊	1	55
aa	阿	1	420
aa	锕	1	6219
aa	腌	1	4253
aad	吖	1	1416
aad	啊	1	55
aadh	吖	1	1416
aadt	啊	1	55
aat	阿	1	420
aatz	阿	1	420
aav	腌	1	4253
aavm	腌	1	4253
aaz	锕	1	6219
aazt	锕	1	6219
ah	盎	1	3665
ah	昂	1	1928
ah	卬	1	5889
ah	肮	1	3264
ahb	卬	1	5889
ahbz	卬	1	5889
ahm	盎	1	3665
ahmm	盎	1	3665
aho	昂	1	1928
ahob	昂	1	1928
ahv	肮	1	3264
ahvz	肮	1	3264
ai	唉	1	1526
ai	嗌	1	7606
ai	嗌	1	7606
ai	嗌	1	7606
ai	艾	1	1209
ai	暧	1	2946
ai	欸	1	5484
ai	隘	1	3675
ai	皑	1	3907
ai	蔼	1	3288
ai	挨	1	1893
ai	嗳	1	4383
ai	哀	1	1591
ai	癌	1	3241
ai	嫒	1	4742
ai	瑷	1	5960
ai	毐	1	5114
ai	哎	1	1386
ai	叆	1	5706
ai	霭	1	3942
ai	矮	1	1920
ai	埃	1	1898
ai	锿	1	6836
ai	爱	1	221
ai	碍	1	1940
ai	砹	1	6711
aia	癌	1	3241
aiad	癌	1	3241
aib	嫒	1	4742
aib	叆	1	5706
aiby	嫒	1	4742
aiby	叆	1	5706
aid	唉	1	1526
aid	嗌	1	7606
aid	嗌	1	7606
aid	嗌	1	7606
aid	嗳	1	4383
aid	哎	1	1386
aidk	唉	1	1526
aidk	嗌	1	7606
aidk	嗌	1	7606
aidk	嗌	1	7606
aidl	哎	1	1386
aidy	嗳	1	4383
aig	毐	1	5114
aig	埃	1	1898
aigk	毐	1	5114
aigk	埃	1	1898
aik	欸	1	5484
aiko	欸	1	5484
ail	艾	1	1209
ail	蔼	1	3288
ailb	艾	1	1209
ails	蔼	1	3288
aim	碍	1	1940
aim	砹	1	6711
aiml	砹	1	6711
aimo	碍	1	1940
ain	瑷	1	5960
ainy	瑷	1	5960
aio	暧	1	2946
aio	矮	1	1920
aiox	矮	1	1920
aioy	暧	1	2946
ait	隘	1	3675
ait	哀	1	1591
ait	霭	1	3942
aitd	哀	1	1591
aitk	隘	1	3675
aits	霭	1	3942
aiu	皑	1	3907
aiu	挨	1	1893
aiuk	挨	1	1893
aiuv	皑	1	3907
aiy	爱	1	221
aiyw	爱	1	221
aiz	锿	1	6836
aizt	锿	1	6836
an	埯	1	6715
an	案	1	859
an	黯	1	2443
an	垵	1	7376
an	犴	1	5240
an	唵	1	5703
an	安	1	362
an	桉	1	5073
an	俺	1	2120
an	暗	1	409
an	盦	1	7003
an	岸	1	1570
an	鹌	1	5027
an	谙	1	3934
an	铵	1	6271
an	按	1	75
an	庵	1	3337
an	胺	1	5014
an	胺	1	5014
an	胺	1	5014
an	氨	1	4664
an	鞍	1	3424
and	唵	1	5703
andm	唵	1	5703
ane	桉	1	5073
anew	桉	1	5073
ang	埯	1	6715
ang	垵	1	7376
angm	埯	1	6715
angw	垵	1	7376
anj	俺	1	2120
anj	盦	1	7003
anja	盦	1	7003
anjm	俺	1	2120
anm	犴	1	5240
anm	鹌	1	5027
anme	犴	1	5240
anmo	鹌	1	5027
ano	暗	1	409
anox	暗	1	409
anp	黯	1	2443
anpx	黯	1	2443
ans	谙	1	3934
ansx	谙	1	3934
ant	鞍	1	3424
antw	鞍	1	3424
anu	按	1	75
anuw	按	1	75
anv	岸	1	1570
anv	胺	1	5014
anv	胺	1	5014
anv	胺	1	5014
anv	氨	1	4664
anvw	胺	1	5014
anvw	胺	1	5014
anvw	胺	1	5014
anvw	氨	1	4664
anvx	岸	1	1570
anw	案	1	859
anw	安	1	362
anwb	案	1	859
anwb	安	1	362
anx	庵	1	3337
anxm	庵	1	3337
anz	铵	1	6271
anzw	铵	1	6271
ao	隩	1	7331
ao	岙	1	5495
ao	凹	1	3000
ao	奡	1	7061
ao	翱	1	3958
ao	傲	1	1282
ao	骜	1	4011
ao	骜	1	4011
ao	骜	1	4011
ao	奥	1	1324
ao	廒	1	6922
ao	遨	1	4583
ao	遨	1	4583
ao	遨	1	4583
ao	敖	1	2785
ao	鏖	1	4532
ao	媪	1	5165
ao	鏊	1	5670
ao	鏊	1	5670
ao	鏊	1	5670
ao	坳	1	4350
ao	拗	1	3569
ao	懊	1	3003
ao	嗷	1	3155
ao	璈	1	5589
ao	袄	1	3614
ao	熬	1	2381
ao	澳	1	2899
ao	鳌	1	3925
ao	鳌	1	3925
ao	鳌	1	3925
ao	獒	1	3985
ao	獒	1	3985
ao	獒	1	3985
ao	螯	1	5486
ao	螯	1	5486
ao	螯	1	5486
ao	聱	1	6420
ao	聱	1	6420
ao	聱	1	6420
aoa	骜	1	4011
aoa	骜	1	4011
aoa	骜	1	4011
aoa	遨	1	4583
aoa	遨	1	4583
aoa	遨	1	4583
aoa	敖	1	2785
aoa	鏊	1	5670
aoa	鏊	1	5670
aoa	鏊	1	5670
aoa	熬	1	2381
aoa	鳌	1	3925
aoa	鳌	1	3925
aoa	鳌	1	3925
aoa	獒	1	3985
aoa	獒	1	3985
aoa	獒	1	3985
aoa	螯	1	5486
aoa	螯	1	5486
aoa	螯	1	5486
aoa	聱	1	6420
aoa	聱	1	6420
aoa	聱	1	6420
aoap	骜	1	4011
aoap	骜	1	4011
aoap	骜	1	4011
aoap	遨	1	4583
aoap	遨	1	4583
aoap	遨	1	4583
aoap	敖	1	2785
aoap	鏊	1	5670
aoap	鏊	1	5670
aoap	鏊	1	5670
aoap	熬	1	2381
aoap	鳌	1	3925
aoap	鳌	1	3925
aoap	鳌	1	3925
aoap	獒	1	3985
