rank	char	frequency_weight
1	的	0.08097522307306709
2	是	0.03904249823310035
3	一	0.03757066834655864
4	不	0.03357522362708337
5	我	0.03039267708683596
6	了	0.02657504061683117
7	有	0.0216573578894512
8	人	0.0192588526614863
9	在	0.01914189876221464
10	个	0.01896827841853319
11	这	0.01890800203461293
12	你	0.0142365229799947
13	就	0.01407859468853715
14	他	0.01379815800844074
15	来	0.01345287696742115
16	大	0.01243895914895868
17	上	0.01177411160099076
18	到	0.01120485846774696
19	说	0.01116207572637584
20	也	0.01016997108534023
21	要	0.01002860396728946
22	么	0.009621849988465585
23	时	0.009510665940566144
24	为	0.009380338365059155
25	们	0.009326053766159125
26	以	0.009212787359864756
27	那	0.008836235647001565
28	看	0.008820087808639996
29	都	0.008760178422789564
30	没	0.008721522097757149
31	自	0.008615948471407741
32	可	0.00831601906263672
33	会	0.008153216881554459
34	好	0.008096714553519332
35	中	0.007943747779003162
36	着	0.007925213529968998
37	能	0.007897714954613222
38	下	0.007847100254477914
39	出	0.007730350366477434
40	还	0.007611265486634638
41	得	0.00758688435559857
42	和	0.00757151736844612
43	过	0.007532619337399932
44	道	0.007481254662719531
45	后	0.007241050656767998
46	子	0.007226716770031417
47	然	0.007130765288239905
48	对	0.00709589687918482
49	地	0.006871130338008949
50	多	0.006802182112471614
51	很	0.006663230065967525
52	去	0.006542156527595992
53	里	0.006414461401606959
54	小	0.006360250509184363
55	想	0.006202779497833851
56	天	0.006190777493408356
57	生	0.00609785330070343
58	她	0.005642585668379265
59	心	0.005624879482628376
60	家	0.005531199045165813
61	学	0.005490511337205984
62	而	0.005474593573021748
63	之	0.00538105254401244
64	如	0.00535098170927256
65	只	0.00516084261755731
66	什	0.005076647237821383
67	国	0.005061755773784317
68	己	0.005055533139352208
69	年	0.004948373015872544
70	现	0.004811081761032088
71	起	0.004786035361019153
72	面	0.004744935438030003
73	但	0.004722164622968933
74	于	0.004619961686521151
75	开	0.004608085541597732
76	发	0.00459579415893439
77	经	0.00458082941231829
78	所	0.00455677369187444
79	问	0.0044969740343882
80	用	0.004467138821686667
81	前	0.004456040059264586
82	事	0.004439958593930635
83	样	0.00429966957688487
84	手	0.004284858040905265
85	本	0.004282489672680313
86	知	0.004273825481281397
87	点	0.004233172116376662
88	无	0.004159442312184456
89	当	0.004156811107772348
90	成	0.004127072524411411
91	最	0.004118838712741747
92	方	0.004060496282247718
93	些	0.004059945683841914
94	实	0.004057905836869552
95	身	0.003976053507266449
96	回	0.003876424341280586
97	分	0.003843626622528468
98	真	0.003815511673155684
99	情	0.003769816877089955
100	老	0.00369167726005327
101	意	0.003656425244164401
102	其	0.003645512981473883
103	种	0.003640401479010287
104	因	0.003529151570539586
105	作	0.003524094878156694
106	女	0.00352040833964131
107	主	0.003452801101970079
108	比	0.003435614621328987
109	头	0.00343060084727953
110	把	0.003396378944910112
111	从	0.003391086030507672
112	高	0.003387486763694692
113	两	0.003379024374801579
114	觉	0.003356076052698415
115	被	0.003328655013641398
116	同	0.003304321227242139
117	定	0.003300691876040507
118	做	0.003275221180797507
119	给	0.003198225320023723
120	几	0.003185331980767696
121	果	0.003165073156379977
122	行	0.003152600251676426
123	感	0.003143753187148949
124	力	0.003137000019125694
125	动	0.003078243152591208
126	正	0.003043733975423824
127	话	0.003035387379867303
128	已	0.003032012548703638
129	三	0.003031064467479375
130	又	0.002986884741317467
131	法	0.002975747323423362
132	打	0.002963302563093101
133	间	0.002943847893936155
134	理	0.002914762475537238
135	明	0.002879821480225469
136	让	0.002869302815276738
137	长	0.002865029737518847
138	第	0.002847713976908375
139	别	0.002741446275904001
140	见	0.002715784436069357
141	次	0.002606264426299971
142	再	0.002594749623278148
143	公	0.002556418318530651
144	进	0.002555815438362325
145	体	0.002532466811342343
146	全	0.002531125002309684
147	相	0.002515055422503175
148	眼	0.002512155240937004
149	候	0.002504148714706627
150	题	0.002460194161330339
151	才	0.002459660009300854
152	更	0.002458556340602649
153	外	0.002437072343679082
154	直	0.002434525752913007
155	太	0.002415559268965046
156	关	0.002411948744096575
157	部	0.002410236728572935
158	气	0.002401752472622454
159	答	0.002391990562437166
160	文	0.002384368711255573
161	常	0.002370659424066037
162	十	0.002332088711472126
163	声	0.002327199537937758
164	重	0.002309052116946858
165	怎	0.002303485201281168
166	机	0.002301378875667998
167	者	0.002295442438564418
168	美	0.002263123950935693
169	走	0.002244160184536907
170	笑	0.002239654412090026
171	业	0.002216976374442286
172	工	0.002213023532216729
173	二	0.002165686058059579
174	应	0.00215028908581957
175	先	0.002149813917816051
176	此	0.002144557280007683
177	少	0.002139994818903578
178	日	0.002134430577342779
179	等	0.002131813614675516
180	性	0.002130175158436648
181	儿	0.002114520844466118
182	内	0.002058984385044794
183	与	0.002041446557328869
184	听	0.002014000105885205
185	神	0.001995131595183987
186	电	0.001982438283887428
187	完	0.001976739156080362
188	接	0.001974303748332711
189	白	0.001971063808637715
190	边	0.001969705819153169
191	并	0.001969470329690921
192	口	0.00196566815502451
193	东	0.001961400480428055
194	名	0.00196071680218109
195	爱	0.001947215128707655
196	水	0.00192566381382792
197	向	0.001911734014996079
198	男	0.001902538325514468
199	原	0.001898676161344132
200	门	0.001890219503054475
201	像	0.001877549043637149
202	将	0.00185949607986298
203	新	0.001833511747534879
204	西	0.001813126262295128
205	何	0.001804982101669363
206	信	0.001802651796148565
207	加	0.001791000086054689
208	吃	0.001786625416781967
209	位	0.001783467990078738
210	跟	0.001777692542013846
211	度	0.001769452915574754
212	风	0.001768959876760072
213	放	0.001766412514755434
214	特	0.001761670529504832
215	认	0.001757050021100635
216	平	0.001738980382330193
217	喜	0.001733615777573383
218	非	0.001713704384573677
219	入	0.001710171376634346
220	每	0.001692135947419979
221	却	0.001682430742588516
222	该	0.001681614168899821
223	光	0.001679555293835381
224	数	0.001678548689932518
225	结	0.001675635543214927
226	死	0.001666638574601205
227	合	0.001664633067996035
228	算	0.001664240159209255
229	军	0.001657814367627262
230	难	0.001656788653749729
231	目	0.001641492261129984
232	表	0.001641078443093935
233	张	0.001634642139367567
234	师	0.001633634511722783
235	或	0.001632436039670975
236	通	0.001630797971033217
237	战	0.001621373705434255
238	找	0.001608071709684037
239	色	0.001608010845980214
240	住	0.001596852820299331
241	友	0.001593245664413377
242	活	0.001591024494212017
243	反	0.00157963991881472
244	场	0.001566914370019475
245	提	0.001560010323398473
246	啊	0.001556316472330041
247	清	0.001546626195071393
248	世	0.001545993488419949
249	安	0.001537228953863086
250	变	0.001536921996304069
251	车	0.001529513602163442
252	带	0.001529202972062613
253	欢	0.001515816590867665
254	教	0.001509839342358482
255	至	0.001505350514879988
256	便	0.001494885393004877
257	受	0.001494781472209025
258	快	0.001491976970874738
259	思	0.001481938370593351
260	马	0.001481783431878531
261	吧	0.00147891211087485
262	始	0.00147875886425512
263	四	0.001478741624118131
264	总	0.001470241219563651
265	处	0.001467591116980229
266	月	0.001467224431859099
267	代	0.001465127216133501
268	且	0.001462930560216438
269	量	0.001456729398794732
270	刚	0.001455654798409251
271	物	0.001442267467516611
272	考	0.001441667305735437
273	论	0.001420107214448162
274	王	0.00141353491792409
275	强	0.00141313293130937
276	路	0.001412876302140977
277	叫	0.00141279125141502
278	基	0.001402224374202917
279	各	0.001396922875798344
280	使	0.001389240390871731
281	影	0.001370453213226178
282	望	0.001360596351550016
283	孩	0.001360492434127398
284	任	0.001354309542277267
285	单	0.001347765163450608
286	系	0.001330709309090622
287	金	0.00132792766860912
288	化	0.001322545733794944
289	今	0.001321142881020246
290	空	0.001308171940006145
291	轻	0.001307524473870876
292	海	0.001306009447823185
293	利	0.001305866870842169
294	记	0.001304302385780434
295	由	0.001296608785148026
296	书	0.001290433530077815
297	脸	0.001283373176098819
298	它	0.001280965581816936
299	越	0.001280668255035837
300	社	0.001277286423242585
301	流	0.001253159338083389
302	黑	0.001235584432289754
303	件	0.001235222904835093
304	万	0.001233822049827229
305	民	0.001232816744646416
306	花	0.001230938041346205
307	产	0.001213667549486591
308	干	0.001209448409006013
309	亲	0.001209245573819948
310	微	0.001207624141854109
311	区	0.001206730529221222
312	语	0.001202505342558848
313	转	0.00119739580005553
314	山	0.00119698548909839
315	容	0.001194484103152527
316	需	0.001192514725024404
317	计	0.001191542030224273
318	立	0.001179726518773069
319	制	0.001176945520490116
320	朋	0.001175396846990416
321	钱	0.001173851408019557
322	交	0.001161793848318103
323	连	0.001160468673529418
324	期	0.001154972084092869
325	保	0.001153432699715508
